C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET22:41:16

Vmag < 6
--------

Number of objects : 5599

 #  	  coord1 (ICRS,J2000/2000)   	Mag B 	Mag V 
----	-----------------------------	------	------
150 	16 11 17.70377 -41 07 11.2800	 6.121	 5.864
151 	16 22 04.34753 +01 01 44.5534	 5.137	 4.820
152 	06 56 08.22413 -17 03 15.2675	 4.312	 4.385
153 	20 38 31.91416 +24 06 57.4493	 4.917	 5.047
154 	12 33 34.25847 -12 49 48.7268	 6.422	 5.591
155 	12 16 07.54934 +40 39 36.6565	 7.21 	 5.66 
156 	21 28 44.92484 -69 30 19.3894	 6.97 	 5.62 
157 	18 23 39.58309 -08 56 03.7885	 5.618	 4.673
158 	06 13 54.23398 -03 44 28.9382	 6.740	 5.835
159 	04 33 54.72733 -06 44 20.0824	 5.59 	 5.72 
160 	08 56 34.12623 -16 42 31.4895	 7.510	 5.961
161 	06 23 55.91578 -25 34 39.4552	 7.204	 5.624
162 	22 41 36.05160 +41 32 56.8433	 6.940	 5.920
163 	05 36 12.81335 -01 12 06.9089	 1.51 	 1.69 
164 	05 26 48.80341 +34 23 30.5169	 6.056	 5.926
165 	08 08 27.44632 +51 30 24.0055	 4.833	 4.802
166 	09 43 43.90499 +14 01 18.1033	 6.98 	 5.35 
167 	04 28 32.11967 +01 22 50.9578	 5.427	 5.528
168 	08 58 29.22272 +11 51 27.7212	 4.401	 4.259
169 	08 41 01.07010 +45 50 02.4215	 6.344	 5.372
170 	13 07 24.29673 -59 51 37.8238	 6.45 	 5.98 
171 	03 29 55.14745 -42 38 03.3231	 5.955	 5.768
172 	04 39 54.68159 +53 04 46.3333	 6.166	 5.085
173 	16 53 17.55584 +47 25 00.2104	 7.334	 5.991
174 	12 10 07.48058 -22 37 11.1620	 4.32 	 2.98 
175 	12 39 48.2645 -60 35 18.909  	 0.000	 0.000
176 	18 19 10.6 +07 15 41         	 6.45 	 5.38 
177 	03 47 14.34062 -74 14 20.2686	 4.88 	 3.26 
178 	12 22 49.43192 -57 40 34.0725	 5.278	 5.370
179 	13 00 16.47021 +30 47 06.0712	 6.02 	 4.88 
180 	07 37 16.68985 -04 06 39.5373	 5.552	 5.143
181 	23 47 01.91899 +57 27 04.8889	 7.211	 5.541
182 	08 12 12.71 +17 38 53.3      	 5.20 	 4.67 
183 	12 28 54.70359 +25 54 46.2622	 5.224	 5.240
184 	07 52 15.66199 -34 42 19.5867	 5.45 	 5.01 
185 	05 11 19.17681 -02 29 26.8173	 6.327	 5.904
186 	21 37 45.43031 +19 19 06.9922	 5.747	 5.460
187 	19 34 50.92871 +29 27 46.6345	 5.96 	 5.407
188 	02 22 04.98276 -17 39 43.8082	 7.145	 5.888
189 	16 03 32.0 -57 46 31         	 5.8  	 5.76 
190 	08 45 55.15177 -79 30 15.7405	 7.417	 5.796
191 	05 24 38.51944 +31 08 35.3357	 5.959	 5.932
192 	02 03 53.95229 +42 19 47.0223	 3.30 	 2.10 
193 	12 54 01.74959 +55 57 35.3627	 1.75 	 1.77 
194 	07 19 28.18202 -16 23 42.8773	 6.05 	 5.70 
195 	05 51 02.43724 +37 18 20.0565	 6.36 	 4.74 
196 	15 27 18.12996 -36 46 03.2081	 5.30 	 5.45 
197 	00 20 39.03682 -69 37 29.6821	 5.459	 5.498
198 	04 03 44.60515 +05 26 08.2465	 5.25 	 5.33 
199 	10 13 44.21739 -70 02 16.4563	 3.25 	 3.33 
200 	20 46 38.85240 +16 07 26.8917	 5.63 	 5.14 
201 	08 22 04.45800 -73 23 59.9525	 5.295	 5.286
202 	02 35 52.47339 +05 35 35.6898	 5.739	 4.880
203 	17 23 41.71 +30 29 50.6      	 1.05 	 1.07 
204 	17 59 01.59191 -09 46 25.0798	 4.33 	 3.34 
205 	00 47 46.05370 +74 50 51.2567	 5.351	 5.417
206 	07 53 18.15792 -48 06 10.5637	 4.10 	 4.24 
207 	16 54 00.36029 -57 54 34.2317	 7.530	 5.935
208 	09 39 20.99948 -61 19 41.0167	 4.454	 4.508
209 	07 49 41.20158 -17 13 42.2695	 6.489	 5.179
210 	12 27 35.10337 +55 42 45.8113	 7.25 	 5.70 
211 	19 41 02.93907 +17 28 33.7528	 5.43 	 4.38 
212 	09 32 19.27745 -40 38 57.6084	 6.237	 5.360
213 	04 10 49.86235 +26 28 51.4299	 5.715	 5.399
214 	03 18 43.82583 +34 13 21.5473	 6.31 	 4.82 
215 	10 19 44.16688 +19 28 15.2943	 5.24 	 4.80 
216 	13 59 17.48307 -50 22 10.7304	 6.862	 5.926
217 	15 01 48.928 -00 08 25.11    	 7.23 	 5.71 
218 	13 51 49.577 -32 59 38.65    	 4.377	 4.520
219 	08 51 34.40962 -07 10 38.0083	 5.712	 5.568
220 	21 26 51.62246 +48 50 06.6016	 5.38 	 5.31 
221 	05 34 04.04767 -01 28 12.9115	 7.494	 5.925
222 	08 26 27.70615 +27 53 36.8867	 6.97 	 5.57 
223 	20 43 27.53338 +15 04 28.4773	 4.707	 4.434
224 	02 55 56.92110 +61 31 16.0916	 5.980	 5.599
225 	23 12 33.00380 +49 24 22.3455	 4.81 	 4.52 
226 	07 17 08.556 -37 05 50.90    	 4.97 	 2.89 
227 	05 29 23.68581 -03 26 47.0152	 6.93 	 5.78 
228 	11 36 56.931 -00 49 25.49    	 5.31 	 4.30 
229 	02 53 35.32254 -22 22 34.7182	 6.974	 5.936
230 	21 45 00.25445 -09 04 56.7386	 6.191	 5.086
231 	00 08 03.48680 -33 31 45.5724	 6.785	 5.668
232 	00 21 31.19832 -28 58 53.2929	 6.167	 5.174
233 	17 34 42.89 -32 34 55.0      	 5.74 	 5.74 
234 	10 31 51.37615 +32 22 46.4015	 6.013	 5.912
235 	16 32 25.68054 +60 49 23.9622	 5.950	 5.910
236 	04 23 40.85270 -03 44 43.6771	 5.248	 5.171
237 	07 11 23.616 -00 18 06.95    	 5.714	 5.437
238 	17 50 11.11291 -40 05 25.5629	 5.035	 4.814
239 	07 33 51.04374 -36 20 18.2110	 5.37 	 5.44 
240 	01 25 05.30682 -64 22 10.1202	 7.504	 5.926
